title,category,views,likes,comments,duration,upload_time
Video 1,Music,401240,40118,9161,261,2024-05-15 02:31:35
Video 2,Sports,313787,36625,10959,843,2024-03-12 11:09:03
Video 3,Education,766274,41904,16094,597,2024-11-20 12:20:20
Video 4,Tech,360308,32070,8124,200,2024-08-23 07:02:50
Video 5,Education,224014,15312,2376,500,2024-10-24 05:42:37
Video 6,Entertainment,692554,85312,11293,634,2024-11-18 08:11:33
Video 7,Gaming,260713,29733,4423,785,2024-05-21 06:36:00
Video 8,News,149290,19470,2869,761,2024-12-18 09:22:37
Video 9,Sports,949251,39955,2589,103,2024-07-16 12:26:22
Video 10,Education,107046,2842,482,144,2024-09-12 17:34:59
Video 11,Music,242355,10039,3762,151,2024-07-09 23:06:57
Video 12,Sports,861538,83257,26604,187,2024-01-12 05:07:19
Video 13,Gaming,413423,44157,8938,602,2024-08-14 18:37:13
Video 14,Music,355414,8444,1099,424,2024-04-18 05:40:04
Video 15,Education,339970,32674,9280,523,2024-12-09 06:08:03
Video 16,Sports,732752,74903,27832,182,2024-05-10 07:39:42
Video 17,Sports,387817,55023,6320,208,2024-04-17 15:39:48
Video 18,Music,973060,29750,7414,197,2024-06-28 13:43:58
Video 19,Education,914543,126757,22207,562,2024-08-02 14:53:11
Video 20,Entertainment,677693,74622,25135,259,2024-01-21 05:39:58
Video 21,Music,439077,53509,15420,586,2024-05-14 15:36:50
Video 22,Tech,657992,21119,2649,177,2024-07-25 18:30:37
Video 23,Gaming,434925,46386,8173,633,2024-01-01 20:20:12
Video 24,Education,388188,14142,1773,102,2024-11-08 15:27:25
Video 25,Gaming,268008,26032,4470,263,2024-05-23 19:22:12
Video 26,News,550850,15373,5198,607,2024-10-13 12:15:51
Video 27,Entertainment,914629,129158,6759,753,2024-12-10 06:21:20
Video 28,Gaming,471236,58717,17860,274,2024-12-18 19:19:48
Video 29,Tech,175863,18825,4564,654,2024-02-18 23:25:47
Video 30,News,631703,47430,5400,421,2024-12-14 05:58:04
